film_id,title,year,person_id,person_name,role,characters
DBQ,Illalu,1940,gudavalli-ramabrahmam,Gudavalli Ramabrahmam,director,
DBW,Jeevana Jyothi,1940,chinna-kameswara-rao,Chinna Kameswara Rao,director,
DBW,Jeevana Jyothi,1940,dronamraju-chinna-kameshwarao,Dronamraju Chinna Kameshwarao,director,
BJUM,Kalachakram,1940,aamancharla-gopala-rao,Aamancharla Gopala Rao,director,
BJUM,Kalachakram,1940,kalapatapu-ramgopal,Kalapatapu Ramgopal,director,
CZY,Kalidasa,1940,h-v-babu,H.V. Babu,director,
DCO,Malathi Madhavam,1940,c-pullaiah,C. Pullaiah,director,
DCU,Meerabai,1940,bhimavarapu-narasimha-rao,Bhimavarapu Narasimha Rao,director,
DCM,Myravana,1940,chitrapu-narayanamurthy,Chitrapu Narayanamurthy,director,
DEO,Sumangali,1940,b-n-reddi,B.N. Reddi,director,
DFH,Viswa Mohini,1940,y-v-rao,Y.V. Rao,director,
DFV,Apavadhu,1941,gudavalli-ramabrahmam,Gudavalli Ramabrahmam,director,
DGI,Bhaktimala,1941,harilal-desai,Harilal Desai,director,
DGR,Chandrahasa,1941,n-l-rangaiah,N.L. Rangaiah,director,
DGV,Chudamani,1941,raja-sandow,Raja Sandow,director,
DGV,Chudamani,1941,p-k,P.K,director,
DGY,Daksha Yagnyamu,1941,chitrapu-narayanamurthy,Chitrapu Narayanamurthy,director,
DHC,Devatha,1941,b-n-reddi,B.N. Reddi,director,
DAT,Dharma Patni,1941,p-pullaiah,P. Pullaiah,director,
DCL,Mahatma Gandhi Jeevithamu,1941,dr-p-v-pati,Dr. P.V. Pati,director,
DJN,Parvathi Kalyanam,1941,ghantasala-balaramaiah,Ghantasala Balaramaiah,director,
DLD,Tenali Ramakrishna,1941,h-m-reddy,H.M. Reddy,director,
DLA,Thalli Prema,1941,jyotish-chandra-sinha,Jyotish Chandra Sinha,director,
DLB,TharaShashank,1941,raghupati-surya-prakash,Raghupati Surya Prakash,director,
DMF,Babruvahana,1942,r-s-prakash,R.S. Prakash,director,
DMI,Bala Nagamma,1942,c-pullaiah,C. Pullaiah,director,
DMI,Bala Nagamma,1942,balkrishna-narayan-rao,Balkrishna Narayan Rao,director,
