film_id,title,year,decade,genres,director,cast,synopsis,language,country,poster_url,source_url,plot
NSE,Aada Janma,1970,1970s,,I.N. Murthy,,Guest Appearance: Chittor V. Nagaiah,Telugu,India,/static/posters/NSE.jpg,https://indiancine.ma/NSE/info,
BGPV,Adavi Raja,1970,1970s,,Geetha Priya,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BGPV/info,
NSN,Agni Pariksha,1970,1970s,,K. Varaprasad Rao,,Guest Appearance: Anjali Devi Child Artist: Sridevi Kapoor,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/NSN/info,
NSO,Akandudu,1970,1970s,,V. Ramachandra Rao,,,Telugu,India,/static/posters/NSO.jpg,https://indiancine.ma/NSO/info,
NSP,Akka Chellelu,1970,1970s,,Akkineni Sanjeevi Rao,,"Guest Appearance: Chittor V. Nagaiah, Rajababu, M. Prabhakar Reddy, Suryakantham",Telugu,India,/static/posters/NSP.jpg,https://indiancine.ma/NSP/info,
NSR,Alibaba 40 Dongalu,1970,1970s,,B. Vittalacharya,,,Telugu,India,/static/posters/NSR.jpg,https://indiancine.ma/NSR/info,
NSS,Allude Menalludu,1970,1970s,,P. Pullaiah,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/NSS/info,
NSW,Amma Kosam,1970,1970s,,B.V. Prasad,,"Guest Appearance: V. Sivaram, Jayakrishna",Telugu,India,/static/posters/NSW.jpg,https://indiancine.ma/NSW/info,
NTJ,Bala Raju Katha,1970,1970s,,Bapu,,"Guest Appearance: Nagabhusanam, Suryakantham",Telugu,India,/static/posters/NTJ.jpg,https://indiancine.ma/NTJ/info,
BDJX,Balaram Sri Krishna Katha,1970,1970s,,Chandrakanth,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/BDJX/info,
NTM,Basthi Kiladilu,1970,1970s,,G.V.R. Seshagiri Rao,,,Telugu,India,/static/posters/NTM.jpg,https://indiancine.ma/NTM/info,
BJRQ,Bayankara Gudachary,1970,1970s,,T.R. Ramanna,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BJRQ/info,
NTQ,Bhale Etthu Chivariki Chitthu,1970,1970s,,Vedantam Raghavaiah,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/NTQ/info,
NTR,Bhale Gudachari,1970,1970s,,Homi Wadia,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/NTR/info,
BJRX,Bommalata,1970,1970s,,V. Srinivasan,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/BJRX/info,
NUE,Chitti Chellelu,1970,1970s,Drama,M. Krishnan Nair,,"Raghavaiah (Gummadi) becomes a drunkard after his wife’s death, he has two children Raja &amp; Shanta. Ragahvaiah believes that Shanta is responsible for his wife’s death, that's why he ill-treats her, but Raja loves his sister more than his life. After some time, Raghavaiah becomes a wanderer leaving the children alone and the sister's responsibility comes on Raja. Once they meet Subbamma (Nirmalamma), a rich woman who is a widow in a temple, who gives shelter to them, she has a son named Raghu. Raghu and Raja becomes best friends, and from childhood, Raghu loves Shanta. Years roll by, Subbamma passes away, Raja (N. T. Rama Rao) takes care of the farm and agriculture of Raghu (Haranath), who is studying in the city. Love and affection of Raja on his little sister Shanta (Vanisri) grows along with him, but the only thing that worries him is that Shanta is very sensitive and faints for petty things. Raja falls in love with his friend Sivalingam’s (Padmanabham) sister Janaki (Rajasri). Raghu completes his education and comes back to the village. Raja is felled up with joy when Raghu expresses his love towards Shanta and he happily performs their marriage. After that, Raghu gets a cashier job in a bank, so he leaves to the city and joins there. Raghavaiah, father of Raja becomes a notorious criminal, who wants to exchange his counterfeit currency in the bank with the original, that’s why he tries to trap Raghu, and when he is not ready to listen, a conflict arises, Raghaviah stabs Raghu with his knife and his acolytes throw him on the road. Raghu is admitted to hospital and before dying he gives a death statement by recognizing Raghavaiah. Raja gets a telegram to start immediately from the bank authorities and rushes to the city where he could not withstand the event. Now he is more worried about his sensitive sister, who is pregnant, to hear this news. He decides not to tell this tragedy to her, so, he keeps the entire sorrow in his heart and takes care of his sister. Once Janaki finds out that there is something wrong with Raja's behavior and she somehow gets the truth from him. Then she consoles him to keep this as a secret until Shanta delivers, so that she would be alive at least for the baby. Meanwhile, Raghavaiah escapes from the police, reaches Raja’s house with a lot of hunger. Shanta feeds him and he bows down to her affection. Seeing his wife’s photo he recognizes Shanta as his daughter and he also comes to know that Raghu is her husband whom he has murdered. Now he decides to make penance for his sins so he surrenders himself to police. At the same time, Shanta gets pains, she is admitted to the hospital, she wants to see Raghu and asks Raja to call him. Raja did not know what to do. In frustration, he faints and comes to consciousness after listening to the baby cry. Unfortunately, Shanta dies giving birth to the baby boy. Raja gets completely distressed that everyone has left him alone, when tries to commit suicide, Janaki prevents him, telling him that he should alive for the baby, who is Shanta's memory. Finally the movie ends with Raja &amp; Janaki taking care of the baby.",Telugu,India,/static/posters/NUE.jpg,https://indiancine.ma/NUE/info,
NUN,Desamante Manusuloy,1970,1970s,"Political, Social",C.S. Rao,,"Child Artist: Sridevi Kapoor Desamante Manushuloyi is a 1970 Telugu, political social problem film.",Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/NUN/info,
NUV,Dharmadaata,1970,1970s,,Akkineni Sanjeevi Rao,,,Telugu,India,/static/posters/NUV.jpg,https://indiancine.ma/NUV/info,
NVC,Drohi,1970,1970s,,K. Bapaiah,,"Guest Appearance: Devika, Chittor V. Nagaiah, Rajababu, Kaikala Satyanarayana, Chandramohan (Telugu Actor), Raavi Kondal Rao, Dulipala, R. Jayarama Reddy, D. Ramanaidu",Telugu,India,/static/posters/NVC.jpg,https://indiancine.ma/NVC/info,
BHZO,Evari Papayi,1970,1970s,,Krishnan-Panju,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BHZO/info,
BJCD,Evarini Nammali,1970,1970s,,Lakshman Gore,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BJCD/info,
NWK,Iddaru Ammayilu,1970,1970s,,S.R. Puttanna Kanagal,,,Telugu,India,/static/posters/NWK.jpg,https://indiancine.ma/NWK/info,
