film_id,title,year,decade,genres,director,cast,synopsis,language,country,poster_url,source_url,plot
BGUV,Preminchanani Cheppara,2000,2000s,,Rakesh Roshan,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/BGUV/info,
BDEQ,Priyuralu Pilichindhi,2000,2000s,,Rajeev Menon,,,Telugu,,/static/posters/BDEQ.jpg,https://indiancine.ma/BDEQ/info,
BHTT,Raa Chilaka,2000,2000s,,Kundan Shah,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BHTT/info,
BJKE,Raghavaiahgari Abbayi,2000,2000s,,Perala Subramanyam,,,Telugu,,/static/posters/BJKE.jpg,https://indiancine.ma/BJKE/info,
BIKO,Rajasthan,2000,2000s,,R.K. Selvamani,,,Telugu,,/static/posters/BIKO.jpg,https://indiancine.ma/BIKO/info,
BFWR,Rakshasa Kanya,2000,2000s,,,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BFWR/info,
BEEP,Ravanna,2000,2000s,,B. Gopal,,,Telugu,India,/static/posters/BEEP.jpg,https://indiancine.ma/BEEP/info,
ARIJ,Rayalaseema Ramanna Chowdary,2000,2000s,,Suresh Krishna,,,Telugu,India,/static/posters/ARIJ.jpg,https://indiancine.ma/ARIJ/info,
BEJP,The Real Fire,2000,2000s,,,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BEJP/info,
ARIK,Real Story,2000,2000s,,G. Venkata Ramana Reddy,,,Telugu,India,/static/posters/ARIK.jpg,https://indiancine.ma/ARIK/info,
BHAB,Rhythm,2000,2000s,,Vasant,,,Telugu,,/static/posters/BHAB.jpg,https://indiancine.ma/BHAB/info,
BJJA,Sahasa Gorilla,2000,2000s,,,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BJJA/info,
BFRI,Sahasa Nari Nara Bhakshakulu,2000,2000s,,,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BFRI/info,
BFFC,Sakhi,2000,2000s,,Mani Ratnam,,,Telugu,India,/static/posters/BFFC.jpg,https://indiancine.ma/BFFC/info,
