film_id,title,year,decade,genres,director,cast,synopsis,language,country,poster_url,source_url,plot
JJC,Abhimanam,1960,1960s,,C.S. Rao,,,Telugu,India,/static/posters/JJC.jpg,https://indiancine.ma/JJC/info,
JJN,Anna Chellelu,1960,1960s,,B. Vittalacharya,,,Telugu,India,/static/posters/JJN.jpg,https://indiancine.ma/JJN/info,
JJO,Annapurna,1960,1960s,,V. Madhusudhana Rao,,,"Telugu, Tamil",India,/static/posters/JJO.jpg,https://indiancine.ma/JJO/info,
BFEF,Baghdad Gajadonga,1960,1960s,,T.P. Sundaram,,Dubbed from Baghdad Thirudan,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/BFEF/info,
JKN,Bhaktha Raghunath,1960,1960s,,"Aamancharla Seshagiri Rao, Samudrala Raghavacharya",,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/JKN/info,
JKO,Bhaktha Sabari,1960,1960s,,Chitrapu Narayanamurthy,,Guest Appearance: K.V.S. Reddy,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/JKO/info,
BIVW,Bhaktha Vijayam,1960,1960s,,Aroor Pattabhi,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/BIVW/info,
JKQ,Bhatti Vikramarka,1960,1960s,,Jampana Chandrasekhar Rao,,Guest Appearance: Mikkilineni,Telugu,India,/static/posters/JKQ.jpg,https://indiancine.ma/JKQ/info,
JLH,Chivaraku Migiledi,1960,1960s,,Ramineedu Gutha,,"Guest Appearance: Kantharao, Kutumba Rao, Haranath, Balakrishna",Telugu,India,/static/posters/JLH.jpg,https://indiancine.ma/JLH/info,
JLN,Deepavali,1960,1960s,,S. Rajanikanth,,"Guest Appearance: Haranatha Raju, Rushendramani",Telugu,India,/static/posters/JLN.jpg,https://indiancine.ma/JLN/info,
BHZD,Desinguraju Katha,1960,1960s,,T.R. Raghunath,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/BHZD/info,
ALDF,Devanthakudu,1960,1960s,,C. Pullaiah,,Guest Appearance: S.V. Rangarao,Telugu,India,/static/posters/ALDF.jpg,https://indiancine.ma/ALDF/info,
JLT,Dharmame Jayam,1960,1960s,,Kadaru Nagabhushanam,,"Guest Appearance: Lingamurthy, Meena Kumari (Telugu Actress)",Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/JLT/info,
JNG,Jagannatakam,1960,1960s,,Sobhanadri Rao,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/JNG/info,
JNH,Jalsarayudu,1960,1960s,,Tapi Chanakya,,,Telugu,India,/static/posters/JNH.jpg,https://indiancine.ma/JNH/info,
BJUI,Jungle Rani,1960,1960s,,P. Subramanyam,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BJUI/info,
JNM,Kadeddullu Ekaram Nela,1960,1960s,,Jampana Chandrasekhar Rao,,,Telugu,India,/static/posters/JNM.jpg,https://indiancine.ma/JNM/info,
BJUO,Kalanthakudu,1960,1960s,,T.P. Sundaram,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/BJUO/info,
BDMW,Kalyani,1960,1960s,,P. Neelakantan,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/BDMW/info,
JNU,Kanakadurga Pooja Mahima,1960,1960s,,B. Vittalacharya,,,Telugu,India,/static/posters/JNU.jpg,https://indiancine.ma/JNU/info,
BJUR,Kanna Kuthuru,1960,1960s,,D. Yoganand,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BJUR/info,
BISW,Karmika Vijayam,1960,1960s,,M.A. Thirumugham,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BISW/info,
BFAA,Kotha Dari,1960,1960s,,K. Subramanyam,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BFAA/info,
JOE,Kuladaivam,1960,1960s,,G. Kabirdas,,,Telugu,India,/static/posters/JOE.jpg,https://indiancine.ma/JOE/info,
JOF,Kumkuma Rekha,1960,1960s,,Tapi Chanakya,,,Telugu,India,/static/posters/JOF.jpg,https://indiancine.ma/JOF/info,
JOQ,Maa Babu,1960,1960s,,Tatineni Prakash Rao,,,Telugu,India,/static/posters/JOQ.jpg,https://indiancine.ma/JOQ/info,
JYP,Maavoori Ammayi,1960,1960s,,A. Bhimsingh,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/JYP/info,
JOR,Magavari Mayalu,1960,1960s,,Sobhanadri Rao,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/JOR/info,
JOS,Mahakavi Kalidasu,1960,1960s,"Drama, History, Musical",Kamalakara Kameshwara Rao,,"Guest Appearance: Sandhya, Vasanthi A naive and upper-caste Brahman, Kali, who lives with his stepmother and her son, faces many challenges when his family and village folks find out that he is in love with a low-caste woman. After being humiliated and asked to leave, the duo travel for many miles until they reach a kingdom ruled by a king and his arrogant daughter. The princess hires Kali's girlfriend to sing at the palace. Kali will be forced to re-evaluate his relationship with his sweetheart after he will be summoned to compete against the princess.",Telugu,India,/static/posters/JOS.jpg,https://indiancine.ma/JOS/info,
BHRN,Maharadhi Karna,1960,1960s,,Bhalji Pendharkar,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BHRN/info,
JOV,Mamaku Thagga Alludu,1960,1960s,,Vedantam Raghavaiah,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/JOV/info,
NLT,Manasichina Maguva,1960,1960s,,A. Bhimsingh,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/NLT/info,
