film_id,title,year,decade,genres,director,cast,synopsis,language,country,poster_url,source_url,plot
ULK,Aadadhi Gadapa Dhatithe,1980,1980s,,B.S. Narayana,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/ULK/info,
BJQL,Aakasamlo Bhukampam,1980,1980s,,K. Balachandar,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BJQL/info,
UMA,Aalayam,1980,1980s,,A. Sriram Reddy,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/UMA/info,
UMZ,Aarani Mantalu,1980,1980s,,K. Vasu,,,Telugu,India,/static/posters/UMZ.jpg,https://indiancine.ma/UMZ/info,
ULE,Aatagadu,1980,1980s,,Tatineni Rama Rao,,"Guest Appearance: M. Prabhakar Reddy, Nutanprasad",Telugu,India,/static/posters/ULE.jpg,https://indiancine.ma/ULE/info,
BJGB,Aavesham,1980,1980s,,Vijayanand,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BJGB/info,
ULM,Adrushtavanthudu,1980,1980s,,G.C. Sekhar,,,Telugu,India,/static/posters/ULM.jpg,https://indiancine.ma/ULM/info,
AMME,Agni Samskaram,1980,1980s,,G.V. Prabhakar,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/AMME/info,
UME,Allari Bava,1980,1980s,,Parvataneni Sambasiva Rao,,,Telugu,India,/static/posters/UME.jpg,https://indiancine.ma/UME/info,
UMF,Alludu Pattina Baratam,1980,1980s,,K. Vishwanath,,Child Artist: Tulasi Sivamani,Telugu,India,/static/posters/UMF.jpg,https://indiancine.ma/UMF/info,
BFYD,America Ramudu,1980,1980s,,,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BFYD/info,
UMI,Ammayi Mogudu Mamaku Yamudu,1980,1980s,,Amrutham,,,Telugu,India,/static/posters/UMI.jpg,https://indiancine.ma/UMI/info,
BIZK,Andhala Raasi,1980,1980s,,K.R.V. Bhaktha,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BIZK/info,
BDEA,Anna Thammulla Sapadam,1980,1980s,,P. Neelakantan,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BDEA/info,
BGOJ,Asadhyulaku Asadhyudu,1980,1980s,,R. Sundaram,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BGOJ/info,
BJAI,Asha Deepalu,1980,1980s,,E. Prakash Reddy,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BJAI/info,
UNM,Badayi Basavayya,1980,1980s,,Boina Subbarao,,,Telugu,India,/static/posters/UNM.jpg,https://indiancine.ma/UNM/info,
SVY,Bandhipotu Muta,1980,1980s,,M. Karnan,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/SVY/info,
UNT,Bandodu Gundamma,1980,1980s,,Dasari Narayana Rao,,,Telugu,India,/static/posters/UNT.jpg,https://indiancine.ma/UNT/info,
UNV,Bangaru Bava,1980,1980s,,Katta Subbarao,,,Telugu,India,/static/posters/UNV.jpg,https://indiancine.ma/UNV/info,
UNW,Bangaru Lakshmi,1980,1980s,,R. Thyagarajan,,"Guest Appearance: R. Narayana Murthy, Murali Mohan, Sripriya, Allu Ramalingaiah",Telugu,India,/static/posters/UNW.jpg,https://indiancine.ma/UNW/info,
BGJN,Bapuji Bharatam,1980,1980s,,Relangi Narasimha Rao,,,Telugu,,/static/posters/BGJN.jpg,https://indiancine.ma/BGJN/info,
UOC,Bebbuli,1980,1980s,,V. Madhusudhana Rao,,,Telugu,India,/static/posters/UOC.jpg,https://indiancine.ma/UOC/info,
BCEY,Bhaktha Siriyala,1980,1980s,,Hunsur Krishnamurthy,,"This film is dubbed from Kannada film ""Bhakta Siriyala (1980)"".",Telugu,India,/static/posters/BCEY.jpg,https://indiancine.ma/BCEY/info,
UOO,Bhale Krishnudu,1980,1980s,,K. Raghavendra Rao,,,Telugu,India,/static/posters/UOO.jpg,https://indiancine.ma/UOO/info,
UPC,Bommala Koluvu,1980,1980s,,Kommineni Seshagiri Rao,,,Telugu,India,/static/posters/UPC.jpg,https://indiancine.ma/UPC/info,
UPD,Buchi Babu,1980,1980s,Drama,Dasari Narayana Rao,,"Special Appearance: Dasari Narayana Rao Guest Appearance: Murali Mohan, Rajababu, K.V. Chalam, Sujatha Jayakar Child Artist: Tulasi Sivamani, Harish (Actor) Buchi Babu (Akkineni Nageswara Rao) gets married to his maternal uncle Varahala Rao's (Raavi Kondala Rao) daughter Buchi (Jayaprada) in their childhood. At that time, Buchi Babu's parents (Prabhakar Reddy &amp; Pushpalata) are needy in their in-laws (Gummadi &amp; Nirmalamma) house. Gundabathula Achchamma (Suryakantham) maternal aunt to Buchi Babu, a shrew opposes this match, insults them badly and throws out the wedding chain from Buchi's neck. So, Buchi Babu has to leave their house along with his parents and safeguards the wedding chain. Years roll by, Buchi Babu's family becomes wealthy thereupon Varahala Rao arrives, explains them the present situation that Achchamma has destroyed the happiness in the family, made the children as spoil brats and also suffers her in-laws. Now to reform them Buchi Babu enters their house in disguise as a cook by the name Maryada Ramanna. Rest of the story is a comic tale that how Buchi Babu teaches them a lesson, acquires Buchi's love and set rights the entire family.",Telugu,India,/static/posters/UPD.jpg,https://indiancine.ma/UPD/info,
UPK,Challenge Ramudu,1980,1980s,,T.L.V. Prasad,,,Telugu,India,/static/posters/UPK.jpg,https://indiancine.ma/UPK/info,
