film_id,title,year,decade,genres,director,cast,synopsis,language,country,poster_url,source_url,plot
DBWQ,3 Monkeys,2020,2020s,,G. Anil Kumar,,"Movie about Anand, Santosh, and Phani are three happy go lucky bachelors who are not at all serious about their lives. The twist in the tale arises when they get into a massive problem. Things become even worse when this problem leads them into a murder case.",Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/DBWQ/info,
DBWV,3BHK Movie 2020,2020,2020s,,"Ramarao Allamraju, PavanKumaraam Peesapati",,"For every individual,HOME plays a vital role in their LIFE as home has a strength to hold lots of emotions, relations, confusions, fun and memories.Our story runs in a 3BHK flat around three main characters namely Balu, Hasini and Krishna.",Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/DBWV/info,
DBWI,22,2020,2020s,,B. Shiva Kumar,,"In Hyderabad city, a courageous inspector Rudra is given a case of mysterious deaths near ATM. On his hunt he finds out the truth behind these deaths are much complicated.",Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/DBWI/info,
DBWM,28 Degree Celsius,2020,2020s,,Anil Viswanath,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/DBWM/info,
DBWZ,47 Days: The Mystery Unfolds,2020,2020s,,Pradeep Maddali,,"Satya, a Suspended Cop, who lost his wife in mysterious circumstances, unexpectedly gets hold of a case which relates to his wife's death. He's starts investigating which eventually hunts down his past and brings chaos in his life. How Satya solved the mystery surrounding him forms the rest of the story.",Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/DBWZ/info,
DBXH,70/100,2020,2020s,,Rakesh Asileti,,70/100 is a story about the couple who is in a long distance relationship. Distance could make us forget everything,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/DBXH/info,
DBWS,302,2020,2020s,,Karthikeya Miriyala,,A seductress prostitute lures her clients into a specific room which is numbered as 302. What she does with them once they are inside remains a mystery.,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/DBWS/info,
DCAP,Adavilo Aarthanaadham,2020,2020s,,,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/DCAP/info,
DCAV,Adhunikam,2020,2020s,,Abhiraj Rupala,,Its a story that shows how these generation illegal affairs effects the mindset of kids and how far these people can go for it.,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/DCAV/info,
DGBO,The Admission Letter,2020,2020s,,Sudarshan Rao MS,,The movie is about the conversation over an admission letter between a conservative father and his film making enthusiast son. What are the concerns of the father? Does son persuade his father?,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/DGBO/info,
