film_id,title,year,decade,genres,director,cast,synopsis,language,country,poster_url,source_url,plot
BEGC,20 va Satabdham,1990,1990s,,Kodi Ramakrishna,,,Telugu,India,/static/posters/BEGC.jpg,https://indiancine.ma/BEGC/info,
BHQT,O Aadapilla Katha,1990,1990s,,,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BHQT/info,
AELU,Abisarika,1990,1990s,,Dasari Narayana Rao,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/AELU/info,
CLNQ,Adadhi,1990,1990s,,,,,Telugu,India,/static/posters/CLNQ.jpg,https://indiancine.ma/CLNQ/info,
YGT,Adadhi,1990,1990s,,A. Mohan Gandhi,,,Telugu,,/static/posters/YGT.jpg,https://indiancine.ma/YGT/info,
AELY,Adavi Dhivitilu,1990,1990s,,R. Narayana Murthy,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/AELY/info,
BHSI,Adavi Sundari,1990,1990s,,P. Chandra Kumar,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BHSI/info,
AEMH,Aggi Ramudu,1990,1990s,Drama,S.S. Ravi Chandra,,,Telugu,India,/static/posters/AEMH.jpg,https://indiancine.ma/AEMH/info,
AEMK,Agni Sakshi,1990,1990s,,M.A. Ajij,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/AEMK/info,
ADKG,Agnipravesam,1990,1990s,,Yandamuri Veerendranath,,,Telugu,India,/static/posters/ADKG.jpg,https://indiancine.ma/ADKG/info,
AEMU,Alajadi,1990,1990s,,Thammareddy Bharathwaja,,,Telugu,India,/static/posters/AEMU.jpg,https://indiancine.ma/AEMU/info,
BEDO,Allari Rayudu,1990,1990s,,Prabhath Khanna,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/BEDO/info,
AEMX,Alludugaru,1990,1990s,Drama,K. Raghavendra Rao,,"Vishnu (Mohan Babu), facing a death sentence for murder, escapes from jail and is hired by Anand (Chandra Mohan) to pretend to be married to Kalyani (Shobhana). This charade is necessary to protect Kalyani’s ailing non- resident Indian father Ramachandra Prasad (Jaggaiah) from facing up to the crisis caused by the break up of Kalyani’s love affair. In the process, however, Kalyani falls in love with Vishnu. It is later revealed that Vishnu was previously married with a son, and had been imprisoned for having unintentionally murdered his wife. In fact, he had attempted to kill his Naxalite brother-in-law believing him to be having an affair with his wife. Vishnu had agreed to Anand’s offer mainly because he needed the money to pay for his son’s medical expenses. His jailer (Satyanarayana) catches up with him but allows him to continue with the masquerade until the ailing Prasad returns to the USA. The film ends with Vishnu returning to prison to be hanged. This melodrama had a tragic ending, contrary to the norm, and was moderately successful with popular musical scores.",Telugu,India,/static/posters/AEMX.jpg,https://indiancine.ma/AEMX/info,
BDLO,Anjali,1990,1990s,,Mani Ratnam,,,Telugu,,/static/posters/BDLO.jpg,https://indiancine.ma/BDLO/info,
AENM,Ankitham,1990,1990s,,Bandela Eshwar Rao,,,Telugu,India,/static/posters/AENM.jpg,https://indiancine.ma/AENM/info,
AENN,Anna Thammudu,1990,1990s,,Krishna Ghattamaneni,,,Telugu,India,/static/posters/AENN.jpg,https://indiancine.ma/AENN/info,
BJRB,Antharyuddham,1990,1990s,,K.V. Jayaram,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BJRB/info,
BIPA,Anthima Vijayam,1990,1990s,,Karvanan,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BIPA/info,
BFTG,Anthuleni Prema,1990,1990s,,Mahesh Kumar,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/BFTG/info,
BGIO,Apsarasa,1990,1990s,,K.S. Gopalakrishnan,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/BGIO/info,
