film_id,title,year,decade,genres,director,cast,synopsis,language,country,poster_url,source_url,plot
BBFD,9th Class C/o Eleshwaram,2010,2010s,,,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/BBFD/info,
BEOZ,1920 Gayatri,2010,2010s,,Vikram Bhatt,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BEOZ/info,
BDDM,1940 lo Oka Gramam,2010,2010s,,Narasimha Nandi,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/BDDM/info,
BEGK,1977,2010,2010s,,G.N. Dinesh Kumar,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/BEGK/info,
CSWW,Aaha yentha andam,2010,2010s,,Jaya Murugan,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/CSWW/info,
AXDQ,Aakasaramanna,2010,2010s,,G. Ashok,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/AXDQ/info,
BELJ,Aarambam,2010,2010s,,Christopher Nolan,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BELJ/info,
BHWS,Aavaham,2010,2010s,,Milind Gadagkar,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BHWS/info,
BJGW,Adbutha Deevi,2010,2010s,,,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BJGW/info,
BGIM,Adhi Nuvve,2010,2010s,,Veera Prasad Neelam,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BGIM/info,
AXEF,Adhurs,2010,2010s,,Vinayak V.V.,,"After Kasturi gives birth to yet another still-born child, her mother-in-law, with the assistance of a nurse, switches the dead child with one of two twins that impoverished Indira has just given birth to. The latter names her child Narsingh, who grows up to be a singer/dancer, and falls in love with Anju, the daughter of a DGP. While the second child is brought up by upper caste, Kasturi and Govind, performs poojas at a variety of weddings and funerals, and is in love with Chandrakala. Chaos will enter their lives when Narsingh will be abducted by a gangster, Baba Bhai, and held until and unless his biological father, an Indian Army Major, reveals a secret. Narsingh manages to escape, continues to elude the gangster and his goons. They then manage to hire an unknowing Chari to impersonate him and compel the Major to reveal the secret. The question remains: will naive Chari be able to pull wool over the Major's eyes?","Telugu, Tamil, Hindi, Urdu, English",India,/static/placeholder_poster.svg,https://indiancine.ma/AXEF/info,
CSXD,Adi Nuvve,2010,2010s,,,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/CSXD/info,
BENA,Aha Entha Andham,2010,2010s,,T.M. Jayamurugan,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BENA/info,
AXDT,Alasyam Amrutham,2010,2010s,,Chandra Mahesh,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/AXDT/info,
BGJX,Alladistha,2010,2010s,,Baali Srirangam,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BGJX/info,
