film_id,title,year,decade,genres,director,cast,synopsis,language,country,poster_url,source_url,plot
ELD,Aahuthi,1950,1950s,,R.S. Junnarkar,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/ELD/info,
FSS,Adhrusta Deepudu,1950,1950s,,S. Soundararajan,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/FSS/info,
AKBD,Apoorva Sahodarulu,1950,1950s,,C. Pullaiah,,"Alexandre Dumas’s The Corsican Brothers. Vasan’s sequel to the smash hit Chandralekha (1948) adapted the Douglas Fairbanks Jr version of the Dumas novel, directed by Edward Small (1942). Made as a trilingual, its nearly identical Tamil ( Apoorva Sahodarargal ) and Telugu (Apoorva Sahodarulu) versions were nevertheless credited to different directors, while M.K. Radha, who plays the double role of the separated twins in Tamil is replaced by his Chandralekha co-star Ranjan for the Hindi film. The villain Zoravar Singh (Nagendra Rao) defeats the rival kingdom of Bhawanigarh and the good doctor Shankar (Casshyap) manages to rescue the twins Vijay and Vikram (Radha/Ranjan), heirs to the throne. Vijay is raised in the city and Vikram in the forest. They grow up to take revenge on Zoravar. Both brothers love the same girl, Ranjana (Bhanumathi), causing a rivalry that generates further intrigues: Zoravar kidnaps the girl as bait to get the two heroes to reveal themselves. The Hindi version (Nishan) was less successful than the Tamil one, which broke several records.",Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/AKBD/info,
FVG,Beedhala Paatlu,1950,1950s,,K. Ramanath,,"Based on Victor Hugo’s Les Miserables. Extraordinary melodrama held together by Nagaiah’s best-known film performance. This version of Sadanand Bharathi’s Tamil translation of Hugo’s novel (remade, unacknowledged, as Gnana Oli, 1972), opens with the petty thief Kandan (Nagaiah) in jail. He escapes and is rearrested by Inspector Javert (Seetaraman). Kandan’s niece (N. Rajam) is abandoned by her husband (Balaiah) while pregnant, and joins a travelling circus after leaving her child with her wicked foster parents. When released, Kandan is reformed by the kind action of a Christian priest, Sadhu Uthaman, becomes a successful glass manufacturer and, after changing his name, is elected the town’s mayor. Kandan’s past catches up with him when Inspector Javert is posted to the town and intends exposing him. During an Independence struggle incident, Kandan rescues Javert and the inspector commits suicide, caught in the dilemma of having to work for an imperialist police force but being indebted to a former criminal. The film is dominated by Nagaiah, inviting comparisons with Paul Muni, and by the stage actor and co-scenarist Seetaraman, who became known as Javert (aka Jawar) Seetaraman for the rest of his career. Much of it is shot with heavy expressionist lighting, esp. the jail sequences as the inspector’s presence is announced by the sound of stomping boots. The visual effect was extended by Elangovan’s dialogue.",Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/FVG/info,
AKST,Jeevitham,1950,1950s,Social Guidance,M.V. Raman,,"Mohini is the daughter of Sivashankaralingeswara Prasad, who marries Durgamma following Mohini's mother's death. Durgamma's brother Murthy wants to marry Mohini. Meanwhile, Mohini falls in love with Ashok, who is none other than her neighbour Pati, but she is not aware of that. When Murthy asks Prasad for Mohini's hand in marriage, he is refused by Mohini. An angry Murthy goes to the village and spends some time with Lakshmi and leaves her. When Lakshmi becomes pregnant, she comes to the city in search of Murthy. Before she can find Murthy, she gives birth to a boy in the hospital. She meets Murthy and requests him to accept her and the child. But Murthy refuses, so she leaves the child in Pati's car, and goes to the sea to commit suicide. In the meantime, Murthy plans to cancel Mohini's marriage to Pati by using the child. Due to his claim that the child is Pati's and Lakshmi's, the marriage is cancelled. The rest of the story is about how Pati faces problems from Murthy, and how he reunites with Mohini.",Telugu,India,/static/posters/AKST.jpg,https://indiancine.ma/AKST/info,
FXF,Lakshmamma,1950,1950s,,Tripuraneni Gopichand,,,Telugu,India,/static/posters/FXF.jpg,https://indiancine.ma/FXF/info,
FXU,Maya Rambha,1950,1950s,"Drama, Musical",T.P. Sundaram,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/FXU/info,
FYB,Modati Rathri,1950,1950s,,K.S. Prakash Rao,,,Telugu,India,/static/posters/FYB.jpg,https://indiancine.ma/FYB/info,
FYP,Palleturi Pilla,1950,1950s,,B.A. Subbarao,,,Telugu,India,/static/posters/FYP.jpg,https://indiancine.ma/FYP/info,
FYR,Paramanandayya Sishyulu,1950,1950s,,Kasturi Sivarao,,"Comedy portraying two bumbling disciples of the eccentric philosopher Paramanandayya (Anjaneyulu). Into this standard folk narrative, scenarist Tapi Dharma Rao weaves a Shakespearean court intrigue while conveying his political concerns in lines like ‘It is better to starve than to rob others’ and in satirical attacks on political opportunism. Nageshwara Rao and Lakshmirajyam played the romantic leads.",Telugu,India,/static/posters/FYR.jpg,https://indiancine.ma/FYR/info,
