person_id,person_name,role,film_count,known_for
bobbili-bhanu,Bobbili Bhanu,director,1,BJJU
bobby-kolli,Bobby Kolli,director,3,"BXYO, BKVZ, DBPG"
boina-subbarao,Boina Subbarao,director,28,"SPM, SXK, SZA, TQY, UHA"
bola-shankar-sunkara,Bola Shankar Sunkara,director,1,BROH
bolla-subbarao,Bolla Subbarao,director,3,"HHL, JAA, LBT"
bommisetty-santhosh-ganesh-deepak,Bommisetty Santhosh Ganesh Deepak,director,1,CEJJ
bondugula-srinivas-reddy,Bondugula Srinivas Reddy,director,1,CRXA
boopathy-pandian,Boopathy Pandian,director,1,CRUF
boyapati-kameswara-rao,Boyapati Kameswara Rao,director,1,BFRJ
boyapati-srinu,Boyapati Srinu,director,9,"ATSJ, AVMD, AYBR, AZUR, BEYX"
bryan-singer,Bryan Singer,director,1,BFGK
bvr-shivakumar,Bvr Shivakumar,director,1,CESH
c-durai-pandian,C. Durai Pandian,director,1,BDTQ
c-gangadhar,C. Gangadhar,director,1,BDSR
c-pullaiah,C. Pullaiah,director,22,"BHJ, BLH, BXO, BZE, CPJ"
c-rajadurai,C. Rajadurai,director,1,BHCV
c-ranganath,C. Ranganath,director,1,BIGC
c-rudraiah,C. Rudraiah,director,1,BHBV
c-seetharam,C. Seetharam,director,1,MQU
c-siva-kumar,C. Siva Kumar,director,1,ARAG
c-srinivas-reddy,C. Srinivas Reddy,director,1,RBQ
c-sundar,C. Sundar,director,15,"BIEV, BHUL, BILB, BIXD, BGNG"
c-supreeth-krishna,C. Supreeth Krishna,director,1,BXYV
c-umamaheshwara-rao,C. Umamaheshwara Rao,director,1,CKSQ
c-umamaheswara-rao,C. Umamaheswara Rao,director,7,"WXU, AADO, AGML, AJPK, APGF"
c-vaikuntarama-sharma,C. Vaikuntarama Sharma,director,2,"PIE, BDYA"
c-c-srinivas,C.C. Srinivas,director,1,AVZC
c-g-dhar,C.G. Dhar,director,1,AHFY
c-h-narayana-murthy,C.H. Narayana Murthy,director,1,ALLI
c-h-srinivas,C.H. Srinivas,director,2,"BFMG, BDUB"
c-h-subba-reddy,C.H. Subba Reddy,director,1,BDLR
c-h-venkat,C.H. Venkat,director,6,"AIZD, BIOI, BJNX, BFNS, BHSM"
c-h-m-krishna,C.H.M. Krishna,director,1,BEJN
c-k-surendra,C.K. Surendra,director,1,BDFP
c-m-karnan,C.M. Karnan,director,1,BFOL
c-p-dixit,C.P. Dixit,director,1,HSZ
c-p-jambulingam,C.P. Jambulingam,director,3,"BHYM, BFNC, BHYJ"
c-p-kolappan,C.P. Kolappan,director,1,BFEJ
c-s-bose,C.S. Bose,director,2,"ACEA, AIBQ"
c-s-rao,C.S. Rao,director,50,"HTU, IPK, ITK, IXC, ALCP"
c-s-reddy,C.S. Reddy,director,1,BSHK
c-s-r-krishnan,C.S.R. Krishnan,director,1,BIAP
c-v-akshar,C.V. Akshar,director,1,BRDO
c-v-ganesh,C.V. Ganesh,director,3,"WRM, BISR, ANSS"
c-v-kumar,C.V. Kumar,director,1,CXYG
c-v-rajendran,C.V. Rajendran,director,14,"BGZO, BFUC, BFVP, BJME, BJOJ"
c-v-ramanji,C.V. Ramanji,director,1,RPV
c-v-ranganatha-das,C.V. Ranganatha Das,director,4,"BKBR, HSY, INH, KYD"
c-v-reddy,C.V. Reddy,director,3,"AJGS, BFJT, AUQO"
c-v-sasikumar,C.V. Sasikumar,director,1,BFTU
c-v-sridhar,C.V. Sridhar,director,24,"HEO, JQK, BJKH, BEVJ, BDKV"
c-v-r-k-giridhar,C.V.R.K. Giridhar,director,1,BIQD
caarthick-raju,Caarthick Raju,director,1,CZSL
carl-schenkel,Carl Schenkel,director,1,BGVV
carthyk-arjun,Carthyk-Arjun,director,1,DAGI
cha-chuen-yee,Cha Chuen Yee,director,1,BIYI
chacha,Chacha,director,2,"BHWI, BGHV"
chachi,Chachi,director,1,DASU
chadalavada-srinivasa-rao,Chadalavada Srinivasa Rao,director,1,BETT
chai-dingari,Chai Dingari,director,1,CBKD
chaitanya-chakravarthy,Chaitanya Chakravarthy,director,1,BAMK
chaitanya-dantuluri,Chaitanya Dantuluri,director,1,BPPS
chaitanya-dhantuluri,Chaitanya Dhantuluri,director,2,"AWIF, BDDP"
chakrapani,Chakrapani,director,2,"RWC, BDFH"
chakravarthy,Chakravarthy,director,6,"QGO, RSU, RZX, BIGH, BHAF"
chakravarty-devulapalli,Chakravarty Devulapalli,director,2,"CUHM, CWWD"
chakri-tholeti,Chakri Tholeti,director,2,"BGJH, AZQX"
chalam,Chalam,director,1,BGDY
chalapthi-malladi,Chalapthi Malladi,director,1,CSRC
chalasani-ramarao,Chalasani Ramarao,director,1,AFDQ
chanda-govinda-reddy,Chanda Govinda Reddy,director,1,BKMX
chandan-arora,Chandan Arora,director,1,BHXP
chandan-samireddy,Chandan Samireddy,director,1,BVMD
chandoo-mondeti,Chandoo Mondeti,director,3,"BQZY, BKNL, CGUX"
chandra,Chandra,director,2,"BIOK, BHZX"
chandra-kumar,Chandra Kumar,director,1,BJUJ
chandra-mahesh,Chandra Mahesh,director,9,"AQVZ, BFDA, ARNM, ASDY, BGMU"
chandra-mohan,Chandra Mohan,director,2,"JHD, BEOT"
chandra-mohan-chintada,Chandra Mohan Chintada,director,1,BKSP
chandra-sekhar-yeleti,Chandra Sekhar Yeleti,director,2,"BNYQ, BXEM"
chandra-siddhartha,Chandra Siddhartha,director,8,"ASOB, ATBP, AVFY, AVUK, AXEX"
chandragira-maharaja,Chandragira Maharaja,director,1,BJQU
chandrakant,Chandrakant,director,3,"BJEM, BIUZ, BDPL"
chandrakanth,Chandrakanth,director,1,BDJX
chandramouli,Chandramouli,director,1,BJMB
chandrasekhar-nagathihalli,Chandrasekhar Nagathihalli,director,3,"BHJP, BGCC, BFDF"
chandrasekhar-reddy,Chandrasekhar Reddy,director,1,BRAF
chandrasekhar-yeleti,Chandrasekhar Yeleti,director,6,"ASNP, ATRI, AVII, AWWV, BFUV"
chandrashekar-kanuri,Chandrashekar Kanuri,director,1,CGPA
chandru,Chandru,director,1,GFX
chandu,Chandu,director,3,"BBGH, BFIA, BGVC"
chandu-dukuntla,Chandu Dukuntla,director,1,CBAN
chandu-mondeti,Chandu Mondeti,director,1,BFEG
chanti-gnanamani,Chanti Gnanamani,director,1,BEIQ
chaplin,Chaplin,director,1,BDDA
charan,Charan,director,1,ASSH
charan-kasinadhuni,Charan Kasinadhuni,director,2,"BOBR, CHYM"
charan-lakkakula,Charan Lakkakula,director,1,CCCE
charan-tej,Charan Tej,director,1,CDQC
charanraj,Charanraj,director,1,BFSZ
charu-rai,Charu Rai,director,1,BVJ
chekuri-krishna-rao,Chekuri Krishna Rao,director,1,ZKY
chendu-muddu,Chendu Muddu,director,1,BFRU
chenni-chiranjeevi,Chenni Chiranjeevi,director,1,BDQA
cherag-ruparel,Cherag Ruparel,director,1,DANF
cheran,Cheran,director,2,"BHWU, BJKG"
chetan-maddineni,Chetan Maddineni,director,1,CWWD
chetan-sharma,Chetan Sharma,director,1,BAQH
chi-guru-dutt,Chi Guru Dutt,director,1,BEXB
chi-gurudutt,Chi Gurudutt,director,2,"CSEE, CTDD"
chimakurthi-haribabu,Chimakurthi Haribabu,director,1,BFFK
chimbudeven,Chimbudeven,director,1,BUHU
chindodi-bangaresh,Chindodi Bangaresh,director,1,WAJ
chinna,Chinna,director,2,"ACHP, AWGQ"
chinna-kameswara-rao,Chinna Kameswara Rao,director,1,DBW
chinna-papisetty,Chinna Papisetty,director,1,DATL
chinni-charan,Chinni Charan,director,1,BHHY
chintalapudi-venkat,Chintalapudi Venkat,director,1,BGRE
chitra-lakshman,Chitra Lakshman,director,2,"BGQO, BECC"
chitrapu-narasimha-rao,Chitrapu Narasimha Rao,director,7,"BNG, BWA, CHZY, CEK, CJT"
chitrapu-narayana-murthy,Chitrapu Narayana Murthy,director,1,IBE
chitrapu-narayana-rao,Chitrapu Narayana Rao,director,1,CIDZ
chitrapu-narayanamurthy,Chitrapu Narayanamurthy,director,16,"CPV, DCM, DGY, DMP, DYN"
chittor-v-nagaiah,Chittor V. Nagaiah,director,3,"ENP, GUM, LHM"
cho-dong-o,Cho Dong O,director,1,BJJN
cholarajan,Cholarajan,director,6,"BJJY, BFQZ, AETX, BGNC, AGAS"
chris-weitz,Chris Weitz,director,1,BIHX
christopher-nolan,Christopher Nolan,director,1,BELJ
chunia,Chunia,director,1,BJNG
cory-yuen,Cory Yuen,director,1,BEAS
cross-belt-mani,Cross Belt Mani,director,1,ACJR
d-diwakar,D. Diwakar,director,1,BDYR
d-gowtham,D. Gowtham,director,1,BDZL
d-madhunag,D. Madhunag,director,1,BFXA
d-maniraj,D. Maniraj,director,1,BIFS
d-pandu,D. Pandu,director,3,"BGJK, BILO, BJDB"
d-prabhakar,D. Prabhakar,director,2,"BJSE, BIMF"
d-rajendra-babu,D. Rajendra Babu,director,1,CPOL
d-rajendrababu,D. Rajendrababu,director,5,"ZBK, BGML, BDRJ, BGST, BGTN"
d-ramakrishna,D. Ramakrishna,director,1,BDQO
d-rangarao,D. Rangarao,director,13,"BFWI, BEOL, BFGE, BIYP, BJRA"
d-ravi-kumar,D. Ravi Kumar,director,1,BJEJ
d-sabapathi,D. Sabapathi,director,1,BIIX
d-shankar,D. Shankar,director,1,BKBD
d-shankar-singh,D. Shankar Singh,director,2,"BJUD, BHFZ"
d-yella-reddy,D. Yella Reddy,director,1,BZHV
d-yoganand,D. Yoganand,director,29,"GSO, HKI, HOV, HUZ, HYU"
d-g-gune,D.G. Gune,director,1,CMA
d-k-suresh,D.K. Suresh,director,1,ASVC
d-l-ramachandar,D.L. Ramachandar,director,2,"CZS, HLZ"
d-s-kannan,D.S. Kannan,director,2,"CSTO, BDMI"
d-s-kotnis,D.S. Kotnis,director,1,EKP
d-s-prakash-rao,D.S. Prakash Rao,director,7,"PDJ, QRH, RDT, RVN, TJH"
d-s-ramesh-selvan,D.S. Ramesh Selvan,director,1,BIFU
d-s-p,D.S.P,director,1,BFAG
d-v-narasaraju,D.V. Narasaraju,director,1,ANLY
d-v-sahadeva-reddy,D.V. Sahadeva Reddy,director,4,"BEIG, BEGX, BGZE, BDJW"
d-v-k-nageshwara-rao,D.V.K. Nageshwara Rao,director,1,BDUL
d-v-r-kalinga,D.V.R. Kalinga,director,1,BGPY
d-v-sahadeva-reddy,D.V.Sahadeva Reddy,director,1,EEFL
dk-boyapati,DK Boyapati,director,1,CDKP
dalapathi,Dalapathi,director,2,"BHEF, BJJM"
daniel-monzaa,Daniel Monzaa,director,1,BEUF
danunjaya,Danunjaya,director,1,BHDF
darapaneni-padmanaba-rao,Darapaneni Padmanaba Rao,director,1,CPOV
darling-swamy,Darling Swamy,director,1,BHLT
das,Das,director,1,BGYN
dasaradh,Dasaradh,director,2,"ASYN, BYBQ"
dasaradhan,Dasaradhan,director,1,BFNV
dasari-narayana-rao,Dasari Narayana Rao,director,118,"PJD, QCX, QFX, QLY, PXZ"
dasari-sairam,Dasari Sairam,director,1,BZZU
datta-dharmadhikari,Datta Dharmadhikari,director,1,BERL
davala-mallik,Davala Mallik,director,1,ASXG
davala-satyam,Davala Satyam,director,11,"UUD, VJH, BHLI, BDTI, XCB"
david-a-prior,David A. Prior,director,1,BJSG
david-f-price,David F. Price,director,1,BENJ
david-lister,David Lister,director,1,BGYS
david-palmieri,David Palmieri,director,1,BDHC
david-r-ellis,David R. Ellis,director,1,BGEH
david-warth,David Warth,director,1,BJLX
david-yates,David Yates,director,1,BDKM
dayakar-reddy,Dayakar Reddy,director,1,BKOI
dayakar-vasanth,Dayakar Vasanth,director,1,BPUI
dayal,Dayal,director,1,BDIA
dayanand-reddy,Dayanand Reddy,director,1,BKMP
deepak,Deepak,director,1,BKAM
deepak-reddy,Deepak Reddy,director,1,BNIA
deepak-shivdasani,Deepak Shivdasani,director,1,BGCB
deepak-tijori,Deepak Tijori,director,1,BGHN
deepan,Deepan,director,1,BITL
deepan-chakravarthy,Deepan Chakravarthy,director,1,BFNT
deepthi-ganta,Deepthi Ganta,director,1,CWPE
deerath-singh,Deerath Singh,director,1,BDBO
delsirani,Delsirani,director,1,BGFL
dennis-joseph,Dennis Joseph,director,2,"ACOL, BDIS"
derekwan,Derekwan,director,1,BHLO
desagan,Desagan,director,1,BHGI
dev,Dev,director,1,BUFN
deva-charan,Deva Charan,director,1,BJIY
deva-katta,Deva Katta,director,4,"AUFN, AXYH, AZPD, BDPI"
devadaanam,Devadaanam,director,1,CDQS
devadas-kanakala,Devadas Kanakala,director,6,"SWZ, UTP, UZQ, VAH, BFHD"
devanand,Devanand,director,1,AUMP
devaraj,Devaraj,director,1,AGQX
devaraj-palan,Devaraj Palan,director,1,CQBG
devaraj-mohan,Devaraj-Mohan,director,1,BEGT
devarapalli,Devarapalli,director,1,CSSG
devendar-dhuva,Devendar Dhuva,director,1,BDDH
devi-prasad,Devi Prasad,director,6,"ARYW, ATIO, BIVP, AVPM, BAZJ"
dhakar,Dhakar,director,1,BXLF
dhana-koteswara-rao,Dhana Koteswara Rao,director,1,ABUX
dhanunjaya-dattu,Dhanunjaya Dattu,director,1,BENI
dhanvignesh-aamuri,Dhanvignesh Aamuri,director,1,BQIX
dharani,Dharani,director,4,"BIXZ, AUIC, BHVD, BGSF"
dharapaneni-padmanaba-rao,Dharapaneni Padmanaba Rao,director,1,BILJ
dharendar,Dharendar,director,1,BDEG
dharmavarapu-subramanyam,Dharmavarapu Subramanyam,director,1,BFSL
dharmesh-darshan,Dharmesh Darshan,director,1,BJYO
dharmesh-shah,Dharmesh Shah,director,1,BUQC
dhasarathan,Dhasarathan,director,1,BGMZ
dhavala-satyam,Dhavala Satyam,director,2,"YOH, AXRU"
dheeraj-raju-pusapati,Dheeraj Raju Pusapati,director,1,BSBY
dhirubhai-desai,Dhirubhai Desai,director,1,BGUX
dhonthireddy-achutha-reddy,Dhonthireddy Achutha Reddy,director,1,BHDU
dhruv-sekhar,Dhruv Sekhar,director,1,BKXK
dhruv-shinde,Dhruv Shinde,director,1,CEUP
diamond-ratna-babu,Diamond Ratna Babu,director,1,CXCR
dileep-polan,Dileep Polan,director,1,AYYB
dileep-raj,Dileep Raj,director,1,CZYE
dilip-kumar-tamil-dir,Dilip Kumar (Tamil Dir),director,1,BHUT
dilip-kumar-salvadi,Dilip Kumar Salvadi,director,1,CXOS
dinesh-babu,Dinesh Babu,director,6,"BESW, AOCV, BEYY, BDKO, BFHN"
dinesh-majji,Dinesh Majji,director,1,CFPG
dominic-sena,Dominic Sena,director,1,BDIE
don-kaskareli,Don Kaskareli,director,1,BEGS
don-sandy,Don Sandy,director,1,CYAL
donald-f-glut,Donald F Glut,director,1,BFHX
dorai-bagavan,Dorai-Bagavan,director,2,"BEVS, BFZV"
dorairaj,Dorairaj,director,1,BDMO
doss-ramasamy,Doss Ramasamy,director,1,BKRJ
douglas-kung,Douglas Kung,director,1,BDDN
dr-l-srinath,Dr L. Srinath,director,1,BDFD
dr-n-sivaprasad,Dr N. Sivaprasad,director,4,"AGEP, AHXH, AJXS, BGMC"
dr-rajarao,Dr Rajarao,director,1,GYR
dr-anand-eslavath,Dr. Anand Eslavath,director,1,BGHP
dr-kiran,Dr. Kiran,director,2,"BDJA, BEAM"
dr-p-v-pati,Dr. P.V. Pati,director,1,DCL
dr-rangarao-guthikonda,Dr. Rangarao Guthikonda,director,4,"BEOF, BFQE, AHID, BDTN"
dr-ranjith,Dr. Ranjith,director,1,AGUV
dr-rao,Dr. Rao,director,1,BDDZ
dronamraju-chinna-kameshwarao,Dronamraju Chinna Kameshwarao,director,1,DBW
dronamraju-chinna-kameswara-rao,Dronamraju Chinna Kameswara Rao,director,1,CPF
druvanag,Druvanag,director,1,BFBA
dsrk-gutti,Dsrk Gutti,director,1,BXQI
dulam-satyanarayana,Dulam Satyanarayana,director,3,"CTAI, BNXC, BVRD"
duncan-mc-lanchlan,Duncan Mc Lanchlan,director,1,BEZH
durai,Durai,director,8,"BJWX, UEX, BERA, BFWW, BGSR"
durga-prasad,Durga Prasad,director,1,DAKS
durga-prasad-chinni,Durga Prasad Chinni,director,1,BRFV
durga-shankarnath,Durga Shankarnath,director,1,AWXL
durgam-rao,Durgam Rao,director,1,CDKF
duvvuru-ramireddy,Duvvuru Ramireddy,director,1,CNS
dwarakesh,Dwarakesh,director,2,"BFBC, BFKS"
e-krishna-chaithanya,E Krishna Chaithanya,director,1,CZZY
e-mohan-das,E. Mohan Das,director,2,"TQF, BINP"
e-nivas,E. Nivas,director,1,BGFS
e-prabhakar-reddy,E. Prabhakar Reddy,director,1,BJER
e-prakash-reddy,E. Prakash Reddy,director,1,BJAI
e-ramdas,E. Ramdas,director,1,BILB
e-sathibabu,E. Sathibabu,director,8,"ARKD, ASAW, ASWE, ATKJ, AUKV"
e-satthi-babu,E. Satthi Babu,director,2,"CSLQ, BKOZ"
e-srinivas,E. Srinivas,director,1,ATMS
e-k-chaitanya,E.K. Chaitanya,director,1,BJEQ
e-p-reddy,E.P. Reddy,director,1,BGWO
e-s-n-murthy,E.S.N. Murthy,director,1,IDW
e-v-v-satyanarayana,E.V.V. Satyanarayana,director,50,"ADPH, AKAV, AFDW, AOLY, AFNP"
eashwar,Eashwar,director,2,"CWXU, DADH"
ebel-ferri,Ebel Ferri,director,1,BHNI
editor-shankar,Editor Shankar,director,1,BFWF
eeranki-sharma,Eeranki Sharma,director,5,"SDM, TFN, TYM, XAV, ABMV"
eeswar,Eeswar,director,1,BKYG
ekta-kapoor,Ekta Kapoor,director,1,BPWP
eleti-ramarao,Eleti Ramarao,director,2,"AEHY, BDNW"
ellen-cabot,Ellen Cabot,director,1,BEPO
ellis-duncan,Ellis Duncan,director,2,"EFX, EGM"
elluri-mallikarjun,Elluri Mallikarjun,director,1,AJTS
elred-kumar,Elred Kumar,director,1,BGUH
erra-apparao,Erra Apparao,director,2,"HKX, IHC"
erram-venugopal,Erram Venugopal,director,1,BHRB
erramaneni-chandramouli,Erramaneni Chandramouli,director,1,BGBA
eshwar-ganapati,Eshwar Ganapati,director,1,BEIP
eswar,Eswar,director,4,"BIIV, BEFI, AWDC, AYBA"
eswar-surapu,Eswar Surapu,director,1,CWWD
excel-san,Excel San,director,1,BHTQ
f-nagoor,F. Nagoor,director,2,"BFOS, HEF"
faarooq-roy,Faarooq Roy,director,1,BXDH
fani-prakash,Fani Prakash,director,1,BGWZ
farhan-akthar,Farhan Akthar,director,1,BGGO
fazil,Fazil,director,5,"BJZA, BDWH, AGXJ, BDVM, BJKA"
feng-zhenzhi,Feng Zhenzhi,director,1,BHSY
fight-master-vicky,Fight Master Vicky,director,1,BDEW
firoz-raza,Firoz Raza,director,1,BDTE
francis-lawrence,Francis Lawrence,director,1,BERJ
frank-coraci,Frank Coraci,director,1,BDGM
g-anil-kumar,G. Anil Kumar,director,13,"YFE, ZLQ, ZNM, ZRX, AAPP"
g-ashok,G. Ashok,director,5,"BIOO, AXDQ, AZCJ, BJND, BKQK"
g-bhupathi-pandian,G. Bhupathi Pandian,director,5,"BFNJ, BFHH, BELH, BIPP, BJHB"
g-eswar-reddy,G. Eswar Reddy,director,1,BDHY
g-ganesh,G. Ganesh,director,1,UVH
g-hari-babu,G. Hari Babu,director,3,"BEOB, ASHU, BJJS"
g-kabirdas,G. Kabirdas,director,1,JOE
g-kamal,G. Kamal,director,1,BFKI
g-karthik-reddy,G. Karthik Reddy,director,1,DBQU
g-kicha,G. Kicha,director,2,"BFFV, BGGN"
g-krishna-murthy,G. Krishna Murthy,director,5,"LGT, OYB, RHF, STC, BGEL"
g-krishna-prasad,G. Krishna Prasad,director,1,BZVO
g-mohan,G. Mohan,director,1,BHUX
g-murali-prasad,G. Murali Prasad,director,1,BDQW
g-murali-vardhan,G. Murali Vardhan,director,1,BRFP
g-naga-koteswara-rao,G. Naga Koteswara Rao,director,1,BJTZ
g-nageswara-reddy,G. Nageswara Reddy,director,18,"BBEK, ARQL, ASCX, ASVL, ASVT"
g-neelakanta-reddy,G. Neelakanta Reddy,director,9,"BFAS, ASKS, ASUP, AUCW, BELI"
g-prajith,G. Prajith,director,1,BKVR
g-prasi,G. Prasi,director,1,BDZR
g-prem-kumar,G. Prem Kumar,director,1,BGUJ
g-rajendar,G. Rajendar,director,1,BDVU
g-ram-suresh,G. Ram Suresh,director,2,"ACNE, AHIG"
g-ramakrishna-dir,G. Ramakrishna (Dir),director,1,OWS
g-ramakrishnan,G. Ramakrishnan,director,1,BDQH
g-ramaraju,G. Ramaraju,director,1,BNYC
g-ramesh,G. Ramesh,director,1,CRSL
g-ravicharan-reddy,G. Ravicharan Reddy,director,2,"AVVK, BFNF"
g-satyamurthy,G. Satyamurthy,director,3,"BGMD, AGID, AIWH"
g-sekhar,G. Sekhar,director,1,BINC
g-seshagiri-rao,G. Seshagiri Rao,director,1,RNB
g-siva,G. Siva,director,1,BGKD
g-siva-murthy,G. Siva Murthy,director,1,BEOG
g-siva-prasad-reddy,G. Siva Prasad Reddy,director,1,CQMR
g-sivaprasad-reddy,G. Sivaprasad Reddy,director,1,AWDN
g-surendra-reddy,G. Surendra Reddy,director,2,"AJPS, BJMF"
g-varalakshmi,G. Varalakshmi,director,1,NAL
g-vasantha-balan,G. Vasantha Balan,director,4,"BGMJ, BHUK, BFEZ, BHIK"
g-venkata-ramana-reddy,G. Venkata Ramana Reddy,director,2,"ARIK, AUPM"
g-venkateswara-rao,G. Venkateswara Rao,director,1,CYN
g-vishwanath,G. Vishwanath,director,18,"BJCT, KUF, LAO, BIUJ, LJI"
g-vishwanathan,G. Vishwanathan,director,1,MKX
g-b-vijay,G.B. Vijay,director,2,"BDHT, BJYF"
g-c-sekhar,G.C. Sekhar,director,10,"SHP, STP, SVD, BIKD, ULM"
g-d-joshi,G.D. Joshi,director,1,HRP
g-k-muddha-raj,G.K. Muddha Raj,director,1,BEIF
g-k-murthy,G.K. Murthy,director,1,PPW
g-k-ramu,G.K. Ramu,director,1,BFHR
g-l-surendra,G.L. Surendra,director,1,BERF
g-l-b-srinivas,G.L.B. Srinivas,director,1,BGSH
g-m-kumar,G.M. Kumar,director,1,BGLR
g-m-g-kumar,G.M.G. Kumar,director,1,BJHA
g-n-dinesh-kumar,G.N. Dinesh Kumar,director,1,BEGK
g-n-rangarajan,G.N. Rangarajan,director,5,"BCFD, BINN, BGSZ, BHSP, BHOT"
g-n-velumani,G.N. Velumani,director,1,POD
g-p-raju,G.P. Raju,director,1,BIGT
g-r-krishna,G.R. Krishna,director,1,CYGU
g-r-krishna-reddy,G.R. Krishna Reddy,director,1,BJAP
g-r-nathan,G.R. Nathan,director,2,"BIRS, BFAX"
g-r-rao,G.R. Rao,director,3,"EZW, GBT, IOT"
g-s-fanikar,G.S. Fanikar,director,1,BGNQ
g-s-mani,G.S. Mani,director,1,BDHN
g-s-rao,G.S. Rao,director,1,BDCY
g-s-reddy,G.S. Reddy,director,1,BIDJ
g-s-vijayan,G.S. Vijayan,director,1,BJDP
g-s-s-p-kalyan,G.S.S.P. Kalyan,director,1,BGYD
g-t-prasad,G.T. Prasad,director,1,BHWQ
g-v-iyer,G.V. Iyer,director,1,AGOV
g-v-prabhakar,G.V. Prabhakar,director,1,AMME
g-v-prabhakar-rao,G.V. Prabhakar Rao,director,1,PBJ
g-v-vijayanand,G.V. Vijayanand,director,1,BEZG
g-v-r-seshagiri-rao,G.V.R. Seshagiri Rao,director,10,"NBO, NPX, NTM, OCN, OHE"
gaddam-v-ramana-reddy,Gaddam V. Ramana Reddy,director,1,BDZE
gagan-gopal-mulka,Gagan Gopal Mulka,director,1,CFLA
gajulapalli-trivikram,Gajulapalli Trivikram,director,1,BKPN
galidine-bangaru-babu,Galidine Bangaru Babu,director,1,CEDF
gana-murali,Gana Murali,director,1,BJGJ
gana-murali-saragadam,Gana Murali Saragadam,director,1,BJRK
gandhi,Gandhi,director,2,"BJGO, BDEP"
gandhi-manohar,Gandhi Manohar,director,2,"BEFZ, BHKR"
ganesh-muthyala,Ganesh Muthyala,director,1,BYSP
ganesh-raj,Ganesh Raj,director,1,BHTB
ganesh-yallapragada,Ganesh Yallapragada,director,1,CXIP
ganga,Ganga,director,1,BEAN
ganga-sidharth,Ganga Sidharth,director,1,BRDB
gangadhar,Gangadhar,director,1,XOL
gangadhar-panday,Gangadhar Panday,director,1,CCSV
gangai-amaran,Gangai Amaran,director,2,"ZTL, BDVP"
gangaraju-gunnam,Gangaraju Gunnam,director,3,"APCH, AUGV, BDIH"
gangarapu-lakshman,Gangarapu Lakshman,director,1,BZKB
garlla-satyanarayana-murthy,Garlla Satyanarayana Murthy,director,1,BDDD
gattu-narender,Gattu Narender,director,1,BQUY
gauri-shinde,Gauri Shinde,director,1,BLTV
gautami-challagulla,Gautami Challagulla,director,1,CAQM
gautami-krishnan,Gautami Krishnan,director,2,"BXDW, CBHV"
gautham-menon,Gautham Menon,director,8,"BJKV, BHOZ, BGKH, BEMQ, BILI"
gavini-krishna,Gavini Krishna,director,1,YZI
gedhada-anand-babu,Gedhada Anand Babu,director,5,"AEER, AGAI, AJBB, BHAA, BJNW"
geetha-priya,Geetha Priya,director,4,"BGPV, BFSI, BHYE, BGSB"
gentem-venugopal,Gentem Venugopal,director,1,BDQS
gerard-pires,Gerard Pires,director,1,BIVF
gerry-lively,Gerry Lively,director,1,BHFL
ghantasala-balaramaiah,Ghantasala Balaramaiah,director,8,"DJN, DTW, DQU, EKV, EZG"
ghantasala-radhakrishnaiah,Ghantasala Radhakrishnaiah,director,1,BHMS
giduthuri-r-tirumalai,Giduthuri R. Tirumalai,director,1,BJOD
giduthuri-suryam,Giduthuri Suryam,director,10,"MEQ, NBT, NCL, NNR, OLR"
giri-reddy,Giri Reddy,director,1,BEDJ
giribabu,Giribabu,director,5,"QDW, RUK, AAHD, AEUQ, AVZG"
giribabu-bandaru,Giribabu Bandaru,director,1,BITG
giridhar,Giridhar,director,6,"AMKA, UXW, XQB, XRL, BHOU"
giridhar-gopal,Giridhar Gopal,director,1,CEIJ
gitanjali-selvaraghavan,Gitanjali Selvaraghavan,director,1,BXDI
gitanjali-sriraghava,Gitanjali Sriraghava,director,1,BXDI
glb-srinivas,Glb Srinivas,director,1,CDEG
gnana-rajasekharan,Gnana Rajasekharan,director,1,BFBF
goerge-prasad,Goerge Prasad,director,1,AEXN
gokul,Gokul,director,2,"BFIF, BWTP"
gollapati-nageswara-rao,Gollapati Nageswara Rao,director,2,"BHXZ, BDJO"
gollapudi-srinivas,Gollapudi Srinivas,director,1,AICZ
goona-nagendra-prasad,Goona Nagendra Prasad,director,2,"VEM, BHLN"
goona-prasad,Goona Prasad,director,1,BKBG
gopal-b,Gopal B.,director,2,"ASDN, AWTQ"
gopal-g-perumal,Gopal G. Perumal,director,1,BFFQ
gopalakrishna,Gopalakrishna,director,2,"BJOV, DAEF"
gopesh,Gopesh,director,1,CUJG
gopesh-vibu,Gopesh Vibu,director,1,BIRB
gopi,Gopi,director,1,BDNO
gopi-ganesh,Gopi Ganesh,director,2,"BDPY, CDVX"
gopi-karthik,Gopi Karthik,director,2,"BYPG, CASO"
gopichand,Gopichand,director,1,BFYA
gopichand-malineni,Gopichand Malineni,director,2,"AXKF, BKQD"
gopichand-mallineni,Gopichand Mallineni,director,3,"AZRG, BAWF, BIZV"
gopikrishnan,Gopikrishnan,director,2,"BGKY, BHGT"
gopinath-reddy,Gopinath Reddy,director,1,BRHN
gorey-saif-ali,Gorey Saif Ali,director,1,BBCQ
gosangi-subbarao,Gosangi Subbarao,director,3,"BHNR, BKAV, BIFQ"
gottiginti-srinivas,Gottiginti Srinivas,director,1,BHOH
goutam-ghosh,Goutam Ghosh,director,1,TZI
goutham-rajkumar,Goutham Rajkumar,director,1,CEFW
