person_id,person_name,role,film_count,known_for
abimanyu,Abimanyu,director,1,BHUS
acharya,Acharya,director,2,"GKW, IXD"
acharya-athreya,Acharya Athreya,director,1,KDQ
addala-narayana-rao,Addala Narayana Rao,director,3,"JRP, MTP, BGFD"
adesh-prasad,Adesh Prasad,director,1,BLEV
adharsh,Adharsh,director,1,BELF
adhi-aravala,Adhi Aravala,director,1,DAHJ
adhik-ravichandran,Adhik Ravichandran,director,1,BDKI
aditya-chopra,Aditya Chopra,director,1,BIYK
aditya-kumar,Aditya Kumar,director,1,ASMM
aditya-om,Aditya Om,director,2,"BTEN, BJJW"
adivi-sesh,Adivi Sesh,director,3,"BEUY, BEIH, BOGJ"
adurthi-sai-bhaskar,Adurthi Sai Bhaskar,director,1,AOSI
adurthi-subbarao,Adurthi Subbarao,director,28,"HBI, IOK, IOZ, JEO, JPU"
agasthian,Agasthian,director,1,CNSG
agasthiyan,Agasthiyan,director,6,"BJVO, BICC, BHGQ, BETQ, ASQH"
agasthya-manju,Agasthya Manju,director,2,"CXIJ, CYWP"
ahammed-khabeer,Ahammed Khabeer,director,1,CYMQ
ahindra-chowdary,Ahindra Chowdary,director,2,"BOW, CMC"
aishwarya-addala,Aishwarya Addala,director,1,BKZP
aishwarya-dhanush,Aishwarya Dhanush,director,1,BBFO
ajay,Ajay,director,1,ASVK
ajay-andrews-nuthakki,Ajay Andrews Nuthakki,director,1,CBNH
ajay-bhupathi,Ajay Bhupathi,director,1,CGRO
ajay-bhuyan,Ajay Bhuyan,director,3,"BFSB, BIKJ, CEPK"
ajay-ejjada,Ajay Ejjada,director,1,BVSB
ajay-ikkurthi,Ajay Ikkurthi,director,1,CFMG
ajay-kumar-ketineni,Ajay Kumar Ketineni,director,9,"AGXR, AHYY, AIKG, AIRE, AJVN"
ajay-nathari,Ajay Nathari,director,1,AXYQ
ajay-sai-manikandan,Ajay Sai Manikandan,director,1,CZBY
ajay-sastry,Ajay Sastry,director,1,AVZK
ajay-voddirala,Ajay Voddirala,director,1,BKYI
ajit-nag,Ajit Nag,director,1,BYMF
akash-dixit,Akash Dixit,director,1,BHBC
akelia-peri-srinivas,Akelia Peri Srinivas,director,1,CGKQ
akilan,Akilan,director,1,BHHO
akki-viswanadha-reddy,Akki Viswanadha Reddy,director,1,BQLV
akkineni-kutumba-rao,Akkineni Kutumba Rao,director,4,"AFPB, BHCS, BIGO, BDQN"
akkineni-sanjeevi-rao,Akkineni Sanjeevi Rao,director,9,"LOL, MUK, NNC, NSP, NUV"
akrosh-kumar-oguri,Akrosh Kumar Oguri,director,1,BFZM
akshara-kumar,Akshara Kumar,director,1,BWUG
akshat-ajay-sharma,Akshat Ajay Sharma,director,2,"BUPW, CBPO"
akshath-ajay-sharma,Akshath Ajay Sharma,director,1,BDPA
aktar-nawaz,Aktar Nawaz,director,1,BGT
akumarthy-baburao,Akumarthy Baburao,director,2,"BHSC, BIJR"
alagam-perumal,Alagam Perumal,director,1,BEJB
alagu-raja-sundaram,Alagu Raja Sundaram,director,1,BJHM
alahari,Alahari,director,2,"BESD, BEPL"
alanj,Alanj,director,1,BRGY
alaparthy-ravindra-prakash,Alaparthy Ravindra Prakash,director,1,BFNY
aleka-chowdary-vemula,Aleka Chowdary Vemula,director,1,BIUE
ali-mohammed,Ali Mohammed,director,1,BKVP
alister-grierson,Alister Grierson,director,1,BJEU
allam-bhuvan-kumar,Allam Bhuvan Kumar,director,1,BKZG
allani-sreedhar,Allani Sreedhar,director,1,CQJD
allani-sridhar,Allani Sridhar,director,5,"AOLG, AIDB, ATAM, BDOD, AEXG"
aluri-ravi,Aluri Ravi,director,2,"VDH, XSR"
amal-neerad,Amal Neerad,director,2,"BHDW, BFEY"
amar-kamepalli,Amar Kamepalli,director,1,BIZT
amar-nalla,Amar Nalla,director,1,BFRX
amar-viswaraj,Amar Viswaraj,director,1,CXBP
amarnath-sandipamu,Amarnath Sandipamu,director,5,"CTCW, CTFU, BQCX, BYMF, CFTP"
ambili,Ambili,director,1,BFUZ
ameer-john,Ameer John,director,1,ZTI
ameer-sultan,Ameer Sultan,director,2,"BIPE, BFMW"
amin,Amin,director,1,CDG
amit-saxena,Amit Saxena,director,1,BGLP
amjad-hussain,Amjad Hussain,director,1,BPXA
amma-rajasekhar,Amma Rajasekhar,director,6,"AUNR, AUSH, AVLX, BEDB, BEGA"
ammineni-madhava-sai,Ammineni Madhava Sai,director,1,ASRY
amrutham,Amrutham,director,2,"UMI, BFCG"
an-bose,An Bose,director,1,BOYQ
anand-chakravarthy,Anand Chakravarthy,director,1,BHFW
anand-gandhi,Anand Gandhi,director,1,BLEV
anand-p-raju,Anand P. Raju,director,4,"BGSA, BDXQ, BJPA, BGFY"
anand-ranga,Anand Ranga,director,1,AWWB
anand-sankarapu,Anand Sankarapu,director,1,BHBR
anand-shankar,Anand Shankar,director,2,"BEFV, CGCS"
anandaprasad-kafoor,Anandaprasad Kafoor,director,1,CWP
anant-narayana-mahadevan,Anant Narayana Mahadevan,director,1,BHFU
anantha-perumal,Anantha Perumal,director,1,CEGW
anbu,Anbu,director,1,BJFZ
andru-aadamson,Andru Aadamson,director,1,BHZZ
aneesh-krishna,Aneesh Krishna,director,1,CFOF
angad-ojha,Angad Ojha,director,1,CHTH
ani-kanneganti,Ani Kanneganti,director,1,BAGP
anil,Anil,director,5,"ADKA, BDRA, AYPW, BGQQ, BZYK"
anil-baindur,Anil Baindur,director,1,BDNS
anil-boyidapu,Anil Boyidapu,director,1,AXMU
anil-c-menon,Anil C. Menon,director,1,BFFU
anil-gopi-reddy,Anil Gopi Reddy,director,1,CCDQ
anil-gopireddy,Anil Gopireddy,director,1,BGVD
anil-jesan-guduru,Anil Jesan Guduru,director,1,BFXN
anil-k-nair,Anil K. Nair,director,1,CTYE
anil-kanneganti,Anil Kanneganti,director,1,BDZX
anil-kishore,Anil Kishore,director,2,"APTM, BJNM"
anil-kumar,Anil Kumar,director,3,"CMSS, BFHJ, BPKT"
anil-pg-raj,Anil Pg Raj,director,1,CWUN
anil-ravipudi,Anil Ravipudi,director,5,"BUFX, BIUC, BILZ, BKWN, CXUF"
anil-srikantam,Anil Srikantam,director,1,CEXL
anil-sunkara,Anil Sunkara,director,1,BAVI
anil-thota,Anil Thota,director,1,CZSK
